,contrast,name,logFC,pval
0,Epithelium_and_Vascular,NDUFA4L2,7.800849914550781,6.8809424681098846e-12
1,Epithelium_and_Vascular,PLAT,-5.706772327423096,3.359329164757766e-09
2,Epithelium_and_Vascular,TCEAL2,-5.559378623962402,1.3316422845234665e-08
3,Immune,AKR1C3,-2.1282570362091064,3.913208305661621e-08
4,Immune,KLRD1,-1.714387059211731,4.1960998509696696e-08
5,Epithelium_and_Vascular,NNMT,5.709510803222656,4.5797398384435165e-08
6,Epithelium_and_Vascular,SLC14A1,-5.037046909332275,6.067950911760833e-08
7,Immune,CAV1,5.315399169921875,7.875306028784986e-08
8,Epithelium_and_Vascular,RP11-798K3.2,2.9460833072662354,7.881390220094451e-08
9,Epithelium_and_Vascular,SGK1,-2.578091859817505,9.405154793906529e-08
10,Epithelium_and_Vascular,CXCL12,-3.4306321144104004,2.6355610204115914e-07
11,Epithelium_and_Vascular,PFKP,3.16510009765625,3.2702394200209284e-07
12,Immune,PMCH,6.464322566986084,4.594716809152967e-07
13,Epithelium_and_Vascular,MEG3,-4.7891621589660645,4.920038346428103e-07
14,Epithelium_and_Vascular,AIF1L,-3.8624422550201416,5.132307562192091e-07
15,Epithelium_and_Vascular,RP11-356J5.12,3.658607244491577,8.206791019783108e-07
16,Immune,EPCAM,-3.114128828048706,1.1115549168172727e-06
17,Immune,UGT2B7,-4.438504219055176,1.138233635614707e-06
18,Epithelium_and_Vascular,C8orf4,-4.149272918701172,1.2511280805368044e-06
19,Epithelium_and_Vascular,GADD45B,-1.616689682006836,1.5225645075381333e-06
20,Epithelium_and_Vascular,HOXB6,-2.655191421508789,1.9418743237198494e-06
21,Epithelium_and_Vascular,TMEM91,2.8313987255096436,2.10902188176245e-06
24,Epithelium_and_Vascular,IGFBP5,-5.4404377937316895,2.936441335999349e-06
26,Epithelium_and_Vascular,SERPINA1,4.168562412261963,3.7039292963873424e-06
27,Immune,LAYN,3.437929391860962,4.5519837395146e-06
28,Immune,ERBB2,-1.6425526142120361,4.776789073118183e-06
29,Epithelium_and_Vascular,RP1-60O19.1,2.3365914821624756,4.852813007767359e-06
30,Immune,NFIL3,-1.2915107011795044,5.364938329441843e-06
31,Epithelium_and_Vascular,RP5-1021I20.2,3.5771055221557617,7.6073904558391445e-06
32,Immune,DKK3,2.8151326179504395,9.145826401709879e-06
33,Epithelium_and_Vascular,MTURN,-3.630186080932617,9.428667429408055e-06
34,Epithelium_and_Vascular,HMOX1,3.0924341678619385,1.0398183280916803e-05
35,Epithelium_and_Vascular,DNASE1L3,-4.936240196228027,1.1965586192551102e-05
36,Epithelium_and_Vascular,ZNF814,-1.820889949798584,1.1977729891315308e-05
37,Epithelium_and_Vascular,PBX1,-3.41652774810791,1.2046283547033681e-05
38,Immune,ALDOB,-8.284366607666016,1.2136660539570322e-05
39,Immune,APOC1,4.922901153564453,1.2670204563879076e-05
40,Epithelium_and_Vascular,ASS1,-1.9795143604278564,1.323757656702733e-05
41,Epithelium_and_Vascular,RHOBTB3,-2.86087703704834,1.3741127221006251e-05
42,Epithelium_and_Vascular,ALDOB,-4.569931983947754,1.3754103784476067e-05
43,Epithelium_and_Vascular,EMCN,-4.906571388244629,1.3789413649381307e-05
46,Epithelium_and_Vascular,PLEKHA4,2.7107417583465576,1.4312182089169871e-05
47,Immune,CLIC3,-1.5533756017684937,1.4473810221301196e-05
48,Immune,ASS1,-4.687951564788818,1.597201866908841e-05
49,Epithelium_and_Vascular,MEIS2,-4.084465026855469,1.6550984624060656e-05
50,Immune,ZC2HC1A,2.60184907913208,1.7912601389620754e-05
