,contrast,name,logFC,pval
0,True,PHACTR1,-29.9411563873291,1.5776699511997774e-07
1,True,GOSR2,-29.976879119873047,3.8098567765770426e-07
2,True,ABHD11,-30.345949172973633,7.812976812589378e-07
3,True,TMEM192,-30.371524810791016,2.3258636835232712e-06
4,True,TMEM120A,1.9107234477996826,2.415475105213696e-06
5,True,TACO1,-29.60852813720703,2.835879895093093e-06
6,True,SEC24D,-29.64924430847168,3.5649125367302065e-06
7,True,LINC00467,-30.265037536621094,6.612919958562487e-06
8,False,ASS1,3.946080446243286,6.813224575035167e-06
9,True,LRRC42,-29.615203857421875,7.286733316169285e-06
10,True,LRP1,-29.917957305908203,1.1143390181259365e-05
11,True,ATP6V1B2,-30.91322898864746,2.4339908857932485e-05
12,True,GTF2H1,-30.08154296875,2.657624833432123e-05
13,True,LYPLA2,-30.639890670776367,3.5778407358768816e-05
14,True,DOK4,2.5424954891204834,6.050932095202833e-05
15,True,GPC6,-30.143112182617188,7.365200383155655e-05
16,True,NOP16,-30.54161834716797,7.37435707593903e-05
17,True,MXRA8,-30.11888313293457,7.797270781915143e-05
18,True,TFRC,-29.738271713256836,8.301399524660751e-05
19,False,LRRC40,-29.966222763061523,8.65061842857412e-05
20,True,UACA,-31.71819305419922,8.962596842861765e-05
21,False,KDM4A,-29.586328506469727,9.669534452076232e-05
22,True,C1QC,-31.211809158325195,0.00010995488202979967
23,False,YTHDF3,-30.076597213745117,0.00013994635899101108
24,False,C6orf47,30.86193084716797,0.00014763974747251295
25,True,ENAH,-30.155000686645508,0.00015874575994930044
26,True,PPIF,-29.513225555419922,0.00017521133351455168
27,True,AZGP1,-29.718883514404297,0.0001922170811177079
28,True,SORBS3,-30.256452560424805,0.00020758963389081963
29,False,ZNF548,-29.57065200805664,0.0002371210762740195
30,True,RASSF6,-30.10059356689453,0.0002378563879753225
31,False,DUSP19,-28.73617172241211,0.00024168244527011216
32,True,SDSL,-29.007198333740234,0.0002511195457997166
33,True,MS4A4A,-29.719743728637695,0.0002672362263190934
34,True,ABCD3,-29.95490074157715,0.0002800002264092967
35,True,SNX4,-30.333879470825195,0.0002857747239293879
36,True,CECR5,-30.03226089477539,0.00030843762519527495
37,True,OAT,-30.543346405029297,0.00031002444789967503
38,True,GLA,-29.3878116607666,0.0003280784969939704
39,True,VTA1,-29.597627639770508,0.0003409279582883258
40,False,HOMER3,30.294723510742188,0.0003458311822132775
41,True,COL4A2,-32.318870544433594,0.00034809465944974434
42,True,PDK2,-30.090959548950195,0.0003491030582125313
43,True,USP10,-30.24134063720703,0.0003510985469589884
44,True,PDLIM3,-30.176742553710938,0.00035715590451460157
45,True,DYNC2LI1,1.4519672393798828,0.00035808179164743527
46,False,FAM8A1,-29.25732421875,0.00036320667308280296
47,True,UEVLD,-29.267105102539062,0.00036346673797838186
48,True,COG7,-29.23393440246582,0.0003693957335144191
49,True,PLRG1,-30.432287216186523,0.00037347077906375035
50,True,PFN2,2.096064567565918,0.00040558051655263455
51,True,HDHD2,-29.792617797851562,0.00040711157460132863
52,True,COL4A1,-32.563785552978516,0.00040986125006346334
53,True,MAGEF1,-30.260969161987305,0.0004154366844275514
54,True,ADAMTS1,-30.517301559448242,0.00041556271875468984
55,True,PRPS2,-29.94068717956543,0.0004165276466350353
56,True,C11orf49,-30.196718215942383,0.0004203750913147635
57,True,SDHAF3,-30.434309005737305,0.0004402099750378897
58,True,GOT1,-30.309772491455078,0.0004402892474184937
59,True,ZC2HC1A,-29.769960403442383,0.0004444259458087236
60,True,NBL1,-30.274600982666016,0.0004473234924928499
61,True,MCOLN1,-29.699434280395508,0.0004537904336737417
62,True,ZNF576,-29.743839263916016,0.00046948042605829394
63,True,FBP1,-29.902332305908203,0.00046999769965855656
64,True,MET,-30.47373390197754,0.0004759288905030892
65,True,TRIM47,-29.908205032348633,0.00047690791744393657
66,True,RABIF,-29.598384857177734,0.0004820162983299325
67,True,FUZ,-29.687232971191406,0.00048703219147955696
68,True,SLC7A6OS,-29.55475616455078,0.0005029365238278425
69,True,MRPL35,-29.465551376342773,0.0005135316321155227
70,True,DNALI1,-29.726810455322266,0.0005154507628252543
71,True,THEMIS2,-29.519895553588867,0.0005368383849849495
72,True,C10orf11,-30.389968872070312,0.0005392817095312277
73,True,HDGF,-30.282451629638672,0.0005468769412795158
74,True,NOTCH3,-30.561824798583984,0.0005479989554711351
75,True,GBA,-29.590662002563477,0.0005526139413444364
76,True,HGD,-30.150941848754883,0.0005863444212499218
77,True,SEPT4,-30.566892623901367,0.000604930564093188
78,True,AGRN,-29.935829162597656,0.0006217368541532273
79,True,BTD,-29.138063430786133,0.0006221724602477381
80,True,NUDT7,-29.184906005859375,0.0006343640055646817
81,True,ADAP2,-29.638057708740234,0.0006372822006107968
82,True,PFKM,-29.159326553344727,0.0006484298395350639
83,False,PRPS2,-30.493473052978516,0.0006497643224303867
84,True,AHCYL1,-30.70245933532715,0.0006508193302892975
85,True,NUDT9,-29.89565658569336,0.0006661625489500703
